"CUST_ID","CUST_FIRST_NAME","CUST_LAST_NAME","CUST_GENDER","CUST_YEAR_OF_BIRTH","CUST_MARITAL_STATUS","CUST_STREET_ADDRESS","CUST_POSTAL_CODE","CUST_CITY","CUST_CITY_ID","CUST_STATE_PROVINCE","CUST_STATE_PROVINCE_ID","COUNTRY_ID","CUST_MAIN_PHONE_NUMBER","CUST_INCOME_LEVEL","CUST_CREDIT_LIMIT","CUST_EMAIL","CUST_TOTAL","CUST_TOTAL_ID","CUST_SRC_ID","CUST_EFF_FROM","CUST_EFF_TO","CUST_VALID"
23673,"Abner","Rossellett","M",1998,"","77 West Saguache Avenue","44581","Moerdijk",51916,"Noord-Brabant",52682,52770,"511-692-9507","K: 250,000 - 299,999",11000,"Rossellett@company.example.com","Customer total",52772,,2019-01-01,,"I"
27228,"Abner","Rossellett","M",1967,"married","87 East Gloucester Avenue","55296","Clifton",51332,"England - Avon",52588,52789,"663-248-6591","K: 250,000 - 299,999",7000,"Rossellett@company.example.com","Customer total",52772,,2019-01-01,,"I"
36115,"Abel","Aaron","M",1947,"married","107 Corson Avenue","49682","Waddinxveen",52490,"Zuid-Holland",52771,52770,"692-104-2604","B: 30,000 - 49,999",5000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
39670,"Abel","Aaron","M",1964,"","107 North Sacramento Avenue","55857","Pune",52114,"Maharashtra",52660,52771,"335-101-4526","B: 30,000 - 49,999",1500,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
43226,"Abel","Aaron","M",1991,"single","117 West Genesee Avenue","59200","Diss",51390,"England - Norfolk",52591,52789,"602-520-2778","B: 30,000 - 49,999",3000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
30783,"Abner","Rossellett","M",1970,"","87 South Todd Avenue","72860","Koeln",51735,"Nordrhein-Westfalen",52684,52776,"552-711-4706","K: 250,000 - 299,999",15000,"Rossellett@company.example.com","Customer total",52772,,2019-01-01,,"I"
25448,"Abel","Aaron","M",1940,"married","17 West McHenry Court","87901","Petaling Jaya",52109,"Selangor",52738,52769,"325-520-9067","B: 30,000 - 49,999",7000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
47004,"Abel","Aaron","M",1950,"","27 East Boyd Boulevard","55406","Hoofddorp",51669,"Noord-Holland",52683,52770,"416-509-5527","B: 30,000 - 49,999",1500,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
50559,"Abel","Aaron","M",1981,"single","27 South Pacific Boulevard","37842","Stockport",52327,"England - Greater Manchester",52590,52789,"540-233-7525","B: 30,000 - 49,999",3000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
4115,"Abel","Aaron","M",1979,"married","37 North Corson Street","78247","Velp",52438,"Gelderland",52610,52770,"623-667-6791","B: 30,000 - 49,999",5000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"A"
7671,"Abel","Aaron","M",1939,"","47 East Sacramento Road","90285","Hyderabad",51673,"Andhra Pradesh",52547,52771,"536-469-7806","B: 30,000 - 49,999",1500,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
11226,"Abel","Aaron","M",1953,"single","57  Genesee Drive","45142","Delhi",51384,"Delhi",52578,52771,"499-104-5506","B: 30,000 - 49,999",3000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
14782,"Abel","Aaron","M",1971,"married","57 North Tioga Drive","70337","Arnemuiden",51070,"Zeeland",52770,52770,"398-101-5334","B: 30,000 - 49,999",5000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
18337,"Abel","Aaron","M",1956,"","67 West Juniata Avenue","38878","Hilversum",51662,"Noord-Holland",52683,52770,"694-520-6052","B: 30,000 - 49,999",1500,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
21892,"Abel","Aaron","M",1977,"single","77  Zapata Avenue","61905","Veldhoven",52437,"Noord-Brabant",52682,52770,"495-509-2740","B: 30,000 - 49,999",3000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
25449,"Abel","Aaron","M",1959,"married","77 South McHenry Avenue","79570","Dun Laoghaire",51401,"Dublin",52580,52772,"237-233-7990","B: 30,000 - 49,999",5000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
29004,"Abel","Aaron","M",1980,"","87 North Boyd Avenue","85268","Wellington",52503,"Wellington",52766,52785,"424-667-5127","B: 30,000 - 49,999",1500,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
32559,"Abel","Aaron","M",1973,"single","97 East Pacific Avenue","68404","Wekerom",52502,"Gelderland",52610,52770,"507-469-8894","B: 30,000 - 49,999",3000,"Aaron@company.example.com","Customer total",52772,,2019-01-01,,"I"
37004,"Abel","Embrey","M",1937,"","107 East Boyd Avenue","33529","Londrina",51804,"Parana",52698,52775,"185-520-5285","B: 30,000 - 49,999",1500,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
40559,"Abel","Embrey","M",1943,"single","107 South Pacific Avenue","69987","Blumenau",51201,"Santa Catarina",52734,52775,"489-509-3814","B: 30,000 - 49,999",3000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
44114,"Abel","Embrey","M",1957,"married","117 North Corson Avenue","81052","Delft",51383,"Zuid-Holland",52771,52770,"555-233-8158","B: 30,000 - 49,999",5000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
34337,"Abel","Embrey","M",1970,"","17 North Juniata Court","77287","Kuala Lumpur",51739,"Kuala Lumpur",52639,52769,"493-233-8071","B: 30,000 - 49,999",1500,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
47893,"Abel","Embrey","M",1933,"single","27 East Zapata Boulevard","78769","Wroclaw",52517,"Wroclaw",52767,52786,"175-667-5441","B: 30,000 - 49,999",5000,"Embrey@company.example.com","Customer total",52772,,2019-01-01,,"I"
